timestamp,temperature,relative_humidity,wind_speed,wind_direction
20160406T0000,11.710529,97.0,4.68,270.0
20160406T0100,11.180529,92.0,18.837322,296.07535
20160406T0200,10.690529,94.0,8.942214,310.10092
20160406T0300,10.330529,92.0,10.446206,271.9749
20160406T0400,9.890529,89.0,14.044615,271.4688
20160406T0500,9.620529,87.0,12.261158,266.63354
20160406T0600,8.590529,91.0,10.086427,267.9546
20160406T0700,8.640529,91.0,6.2145634,259.992
20160406T0800,9.500529,90.0,5.7599998,270.0
20160406T0900,10.320529,86.0,8.825508,281.7683
20160406T1000,10.850529,81.0,8.766573,289.17902
20160406T1100,11.750529,75.0,7.2805495,278.53076
20160406T1200,12.590529,73.0,8.12197,282.80426
20160406T1300,12.390529,75.0,11.659777,278.88065
20160406T1400,14.500529,62.0,12.144331,281.97614
20160406T1500,14.780529,61.0,13.363711,274.63547
20160406T1600,14.940529,61.0,15.484185,268.6678
20160406T1700,15.470529,60.0,15.856356,267.39746
20160406T1800,15.3005295,62.0,16.203999,271.27304
20160406T1900,14.980529,60.0,14.512064,277.125
20160406T2000,13.380529,65.0,12.313893,285.25513
20160406T2100,11.980529,72.0,9.779817,276.34018
20160406T2200,11.210529,72.0,11.792404,257.66092
20160406T2300,10.640529,71.0,12.641076,250.0169
20160407T0000,9.180529,71.0,12.879752,243.43495
20160407T0100,8.640529,71.0,11.681987,236.30994
20160407T0200,8.290529,70.0,12.218805,225.0
20160407T0300,8.920529,70.0,12.88981,234.09029
20160407T0400,8.660529,75.0,14.182355,246.0375
20160407T0500,8.280529,79.0,13.1041975,254.0546
20160407T0600,8.370529,87.0,16.65754,276.20346
20160407T0700,6.8105288,84.0,18.289274,280.20398
20160407T0800,6.9905286,84.0,18.35647,281.30994
20160407T0900,6.3005285,79.0,18.888851,277.6668
20160407T1000,7.2205286,73.0,18.486622,276.70984
20160407T1100,7.8005285,72.0,17.673029,273.50354
20160407T1200,7.3005285,69.0,22.682856,270.9094
20160407T1300,8.650529,58.0,21.659918,285.42218
20160407T1400,8.990529,71.0,15.629971,284.6764
20160407T1500,9.720529,67.0,16.327497,284.03625
20160407T1600,10.240529,65.0,16.854767,289.98312
20160407T1700,10.780529,63.0,18.775303,302.4712
20160407T1800,10.100529,63.0,18.532135,299.0546
20160407T1900,9.580529,64.0,14.986553,294.10223
20160407T2000,8.910529,63.0,13.202726,295.86633
20160407T2100,8.080529,66.0,12.10157,292.75098
20160407T2200,7.7505283,68.0,9.107359,288.43497
20160407T2300,7.3605285,70.0,8.557102,284.62088
20160408T0000,7.0005283,72.0,8.089993,290.85446
20160408T0100,6.8005285,75.0,5.6002855,315.0
20160408T0200,6.6305285,79.0,6.489992,326.30994
20160408T0300,6.290529,84.0,7.8625183,344.0546
20160408T0400,6.0305285,83.0,6.830519,341.56506
20160408T0500,5.5805287,87.0,7.10031,329.53445
20160408T0600,5.4005284,89.0,7.9036193,329.93143
20160408T0700,5.2705283,87.0,9.387651,327.5288
20160408T0800,5.6105285,80.0,10.365251,339.67688
20160408T0900,6.4405284,75.0,9.726665,357.8789
20160408T1000,7.1205287,71.0,6.9153743,38.659805
20160408T1100,7.0905285,72.0,4.32,89.99999
20160408T1200,6.9205284,74.0,5.1919937,123.69006
20160408T1300,7.3405285,73.0,2.4149535,116.56505
20160408T1400,10.580529,58.0,9.826088,8.426956
20160408T1500,11.170529,56.0,7.968939,18.434952
20160408T1600,11.070529,57.0,5.904439,52.431404
20160408T1700,11.260529,59.0,6.151683,69.443954
20160408T1800,11.080529,62.0,5.8048253,60.25511
20160408T1900,10.490529,69.0,3.563818,44.999985
20160408T2000,10.070529,72.0,1.9386592,21.801407
20160408T2100,9.670529,78.0,1.08,360.0
20160408T2200,9.480529,80.0,2.52,360.0
20160408T2300,9.240529,79.0,3.2399998,360.0
20160409T0000,8.750529,77.0,5.1919937,326.30994
20160409T0100,8.010529,76.0,9.983106,334.359
20160409T0200,7.5105286,74.0,12.245293,335.69547
20160409T0300,7.0705285,75.0,11.113451,335.09525
20160409T0400,6.6905284,78.0,4.829907,333.43497
20160409T0500,6.290529,83.0,4.6102495,308.65982
20160409T0600,6.1705284,84.0,7.24486,296.56506
20160409T0700,6.2205286,83.0,7.9036193,300.0686
20160409T0800,6.9605284,78.0,11.246759,320.19443
20160409T0900,8.420529,72.0,12.074766,333.43497
20160409T1000,9.960529,65.0,12.313893,344.74487
20160409T1100,11.070529,60.0,13.661038,341.56506
20160409T1200,11.850529,56.0,13.207634,342.5528
20160409T1300,11.980529,54.0,11.090103,346.86597
20160409T1400,11.580529,61.0,3.096837,324.46234
20160409T1500,11.940529,59.0,3.219938,296.56506
20160409T1600,12.200529,59.0,4.1046314,285.25513
20160409T1700,12.260529,58.0,4.73506,278.74615
20160409T1800,12.290529,58.0,6.489992,273.17984
20160409T1900,12.100529,58.0,6.0347,287.35403
20160409T2000,11.710529,60.0,5.315336,298.30078
20160409T2100,11.280529,64.0,5.0528407,274.08563
20160409T2200,10.940529,66.0,5.1919937,236.30994
20160409T2300,10.230529,72.0,6.725354,195.52411
20160410T0000,9.710529,76.0,6.489992,199.44003
20160410T0100,9.220529,76.0,6.0347,197.35403
20160410T0200,8.690529,74.0,5.8048253,187.12502
20160410T0300,8.140529,74.0,5.4119864,176.18593
20160410T0400,7.3705287,75.0,4.452954,165.96376
20160410T0500,6.1505284,76.0,4.0249224,190.30484
20160410T0600,5.7405286,74.0,4.32,180.0
20160410T0700,5.9305286,69.0,4.0249224,169.69516
20160410T0800,6.4405284,72.0,2.968636,165.96376
20160410T0900,7.9705286,72.0,5.0142193,111.03751
20160410T1000,10.160529,72.0,8.209263,105.25512
20160410T1100,12.330529,63.0,12.429127,100.00798
20160410T1200,13.600529,55.0,14.618837,99.92624
20160410T1300,14.650529,50.0,14.869351,96.95296
20160410T1400,15.260529,50.0,16.75064,98.652534
20160410T1500,16.07053,47.0,16.343367,97.59464
20160410T1600,16.62053,46.0,15.629972,97.943474
20160410T1700,16.89053,45.0,15.328561,99.46232
20160410T1800,16.79053,45.0,15.111424,102.38075
20160410T1900,16.160528,48.0,13.779114,109.85521
20160410T2000,14.830529,53.0,12.43434,112.10944
20160410T2100,13.160529,61.0,11.631956,111.80141
20160410T2200,11.0505295,67.0,9.0,126.869896
20160410T2300,9.780529,72.0,9.504272,127.30394
20160411T0000,8.840529,82.0,11.183201,123.17851
20160411T0100,8.280529,83.0,11.592894,126.15819
20160411T0200,7.7405286,83.0,11.304229,127.23483
20160411T0300,7.1505284,84.0,11.019764,128.36748
20160411T0400,6.6505284,85.0,10.739832,129.55966
20160411T0500,6.1105285,86.0,10.233123,129.2894
20160411T0600,5.8305287,86.0,9.793059,126.027374
20160411T0700,5.7605286,85.0,10.1887,122.00538
20160411T0800,7.1905284,82.0,11.753877,117.34987
20160411T0900,9.110529,76.0,11.384199,108.434944
20160411T1000,11.260529,71.0,11.212135,95.52754
20160411T1100,13.240529,67.0,7.289444,69.77513
20160411T1200,15.160529,63.0,6.151683,20.556046
20160411T1300,16.530529,59.0,6.9899354,11.888657
20160411T1400,17.46053,55.0,5.04,360.0
20160411T1500,18.090528,53.0,3.7585104,343.30075
20160411T1600,18.500528,52.0,5.154415,335.22485
20160411T1700,18.590528,50.0,3.096837,324.46234
20160411T1800,17.90053,50.0,5.634891,243.43495
20160411T1900,17.580528,49.0,6.28713,246.37064
20160411T2000,16.98053,50.0,2.5455842,261.8699
20160411T2100,16.45053,50.0,2.8799999,89.99999
20160411T2200,15.850529,51.0,7.42159,112.83366
20160411T2300,13.5505295,62.0,6.9899354,168.11134
20160412T0000,11.170529,71.0,8.587338,236.97614
20160412T0100,10.290529,78.0,11.090103,234.24612
20160412T0200,10.700529,75.0,7.4128532,240.9454
20160412T0300,10.450529,75.0,3.8268526,138.81407
20160412T0400,10.180529,74.0,7.386582,136.97493
20160412T0500,9.890529,72.0,6.1305785,130.23636
20160412T0600,9.580529,72.0,1.1384199,198.43495
20160412T0700,8.970529,79.0,2.4149535,63.43495
20160412T0800,9.120529,81.0,6.12,89.99999
20160412T0900,10.650529,79.0,6.9899354,101.88866
20160412T1000,12.600529,72.0,8.209263,105.25512
20160412T1100,14.570529,63.0,4.68,89.99999
20160412T1200,15.820529,58.0,4.829907,63.43495
20160412T1300,16.740528,56.0,4.39436,55.007973
20160412T1400,17.830528,47.0,14.529915,138.01279
20160412T1500,18.71053,42.0,14.512064,150.25511
20160412T1600,19.180529,40.0,14.458382,161.1139
20160412T1700,19.250528,41.0,15.716793,159.90477
20160412T1800,18.990528,44.0,16.418526,142.12502
20160412T1900,18.37053,49.0,14.021525,138.12213
20160412T2000,17.520529,56.0,6.830519,161.56505
20160412T2100,15.730529,68.0,6.9153743,308.65982
20160412T2200,14.510529,69.0,0.8049845,26.565033
20160412T2300,13.900529,74.0,3.396233,327.99463
20160413T0000,12.8005295,82.0,6.439876,333.43497
20160413T0100,11.870529,90.0,7.2,323.13013
20160413T0200,11.460529,94.0,8.311245,287.65012
20160413T0300,11.310529,82.0,9.47012,261.25385
20160413T0400,10.410529,80.0,8.647496,267.61407
20160413T0500,9.850529,83.0,1.4399999,270.0
20160413T0600,9.630529,88.0,4.3349743,94.76365
20160413T0700,9.520529,90.0,7.5599995,89.99999
20160413T0800,10.120529,89.0,7.9526596,95.19443
20160413T0900,11.590529,81.0,12.57426,103.24051
20160413T1000,13.350529,76.0,14.578888,110.22486
20160413T1100,13.480529,74.0,10.587917,107.818886
20160413T1200,13.950529,71.0,2.0991426,120.96376
20160413T1300,13.450529,78.0,9.227524,290.55603
20160413T1400,14.030529,66.0,20.364674,261.8699
20160413T1500,13.310529,71.0,22.346113,267.2298
20160413T1600,13.250529,70.0,19.443333,268.9391
20160413T1700,12.640529,71.0,22.461807,276.4416
20160413T1800,12.590529,70.0,21.2522,271.94147
20160413T1900,12.340529,70.0,21.24,270.0
20160413T2000,11.750529,73.0,17.28,270.0
20160413T2100,11.040529,76.0,17.283749,268.80652
20160413T2200,10.210529,73.0,19.917469,263.77417
20160413T2300,9.380529,78.0,17.28,270.0
20160414T0000,8.970529,81.0,13.039754,263.65982
20160414T0100,9.260529,79.0,13.009903,255.57922
20160414T0200,8.920529,80.0,13.797912,262.50415
20160414T0300,8.630529,81.0,12.324414,263.29016
20160414T0400,7.9105287,87.0,13.441071,262.30396
20160414T0500,7.5705285,89.0,12.57426,256.7595
20160414T0600,7.9505286,87.0,11.966954,254.29138
20160414T0700,7.8805285,86.0,14.003029,252.03087
20160414T0800,9.320529,80.0,15.978486,255.65067
20160414T0900,10.370529,78.0,17.643673,268.83087
20160414T1000,10.460529,77.0,18.057508,265.4261
20160414T1100,11.280529,72.0,17.057314,262.725
20160414T1200,12.030529,67.0,16.203999,268.727
20160414T1300,13.160529,63.0,16.215992,272.5448
20160414T1400,14.860529,57.0,5.1544156,257.90524
20160414T1500,15.500529,54.0,2.6208394,254.0546
20160414T1600,15.890529,52.0,2.0991426,149.03624
20160414T1700,16.14053,50.0,2.3051248,141.34018
20160414T1800,16.270529,49.0,2.2768397,108.434944
20160414T1900,15.980529,51.0,5.8048253,82.874985
20160414T2000,15.040529,58.0,8.049845,79.695145
20160414T2100,13.560529,66.0,9.422101,96.58194
20160414T2200,12.260529,70.0,8.404285,133.26428
20160414T2300,10.530529,72.0,10.514218,141.95296
20160415T0000,8.930529,75.0,10.739832,140.44034
20160415T0100,9.310529,71.0,9.504272,127.30394
20160415T0200,8.690529,79.0,10.636766,113.96249
20160415T0300,8.590529,76.0,11.384198,124.69515
20160415T0400,7.9705286,80.0,11.966954,133.78111
20160415T0500,8.220529,80.0,12.904882,120.14138
20160415T0600,8.580529,80.0,11.720751,137.48955
20160415T0700,11.860529,55.0,8.350138,187.43141
20160415T0800,12.220529,54.0,6.9247384,242.10274
20160415T0900,10.750529,73.0,9.178235,318.17984
20160415T1000,12.480529,73.0,18.947083,255.69974
20160415T1100,12.500529,75.0,23.535301,276.14664
20160415T1200,13.640529,70.0,24.933735,265.03027
20160415T1300,15.5505295,57.0,24.216522,264.8827
20160415T1400,14.430529,71.0,14.05845,272.93567
20160415T1500,14.820529,67.0,11.165805,268.1524
20160415T1600,15.310529,66.0,9.114471,260.90973
20160415T1700,15.630529,66.0,4.1046314,232.12502
20160415T1800,15.990529,67.0,6.9899354,168.11134
20160415T1900,14.720529,71.0,22.90743,210.19162
20160415T2000,13.340529,75.0,20.68356,211.47684
20160415T2100,12.260529,84.0,9.021574,208.61046
20160415T2200,11.820529,89.0,9.686609,131.98721
20160415T2300,11.460529,93.0,7.127636,135.0
20160416T0000,11.840529,90.0,7.491114,144.78241
20160416T0100,11.830529,90.0,9.885262,169.50853
20160416T0200,12.150529,84.0,7.628263,160.70996
20160416T0300,12.190529,82.0,2.2768397,161.56505
20160416T0400,10.980529,94.0,2.9024127,7.125
20160416T0500,11.250529,83.0,8.161764,131.42366
20160416T0600,10.760529,70.0,9.793058,162.89728
20160416T0700,10.490529,76.0,9.387651,122.47119
20160416T0800,10.170529,88.0,14.33234,115.27772
20160416T0900,12.940529,68.0,17.309973,163.07248
20160416T1000,15.670529,49.0,27.80403,221.3255
20160416T1100,16.610529,58.0,18.03237,273.43362
20160416T1200,17.30053,54.0,27.047956,243.0939
20160416T1300,17.830528,53.0,24.735432,248.66315
20160416T1400,16.15053,59.0,27.402597,260.16644
20160416T1500,16.180529,60.0,24.216522,264.8827
20160416T1600,16.240528,60.0,20.172853,267.9546
20160416T1700,16.190529,61.0,18.0036,271.14575
20160416T1800,15.970529,63.0,15.226764,276.78897
20160416T1900,15.840529,65.0,12.0694,287.35403
20160416T2000,14.990529,70.0,6.8777895,312.8789
20160416T2100,14.070529,77.0,3.9763298,84.805565
20160416T2200,12.640529,90.0,12.429127,100.00798
20160416T2300,12.370529,89.0,11.874544,104.03624
20160417T0000,11.760529,92.0,13.53236,118.61046
20160417T0100,11.730529,92.0,10.464797,130.81508
20160417T0200,11.900529,89.0,11.246759,129.80557
20160417T0300,11.310529,93.0,11.043261,160.9744
20160417T0400,13.040529,80.0,5.991594,147.26477
20160417T0500,13.040529,75.0,30.75209,207.16498
20160417T0600,13.090529,72.0,34.411556,222.03177
20160417T0700,12.700529,77.0,24.43761,225.0
20160417T0800,13.290529,73.0,20.466246,230.7106
20160417T0900,14.840529,68.0,24.48,241.92752
20160417T1000,14.330529,63.0,33.033802,249.59012
20160417T1100,11.080529,73.0,32.809414,273.14496
20160417T1200,6.0505285,78.0,21.434364,330.85193
20160417T1300,8.180529,76.0,15.175612,292.3062
20160417T1400,11.440529,84.0,7.289445,327.0948
20160417T1500,10.630529,88.0,21.67786,324.46234
20160417T1600,8.400529,91.0,26.282465,346.5348
20160417T1700,8.770529,85.0,23.087763,349.2157
20160417T1800,9.100529,81.0,19.416653,349.31512
20160417T1900,8.790529,80.0,15.745627,349.46082
20160417T2000,8.270529,83.0,12.181625,341.0296
20160417T2100,7.7705283,84.0,9.290511,324.46234
20160417T2200,7.2205286,87.0,8.161764,311.42368
20160417T2300,7.0505285,90.0,6.696387,306.25385
20160418T0000,6.8605285,91.0,8.78872,325.008
20160418T0100,6.6205287,89.0,10.931203,342.75854
20160418T0200,6.4805284,87.0,10.739833,346.42957
20160418T0300,6.3905287,89.0,6.6185193,337.61987
20160418T0400,6.2005286,92.0,3.2599385,6.340164
20160418T0500,6.1405287,94.0,1.08,270.0
20160418T0600,6.0905285,92.0,3.2399998,180.0
20160418T0700,6.1105285,91.0,3.8939953,213.69006
20160418T0800,6.7105284,84.0,5.506941,281.30994
20160418T0900,7.0305285,87.0,9.1641035,315.0
20160418T1000,7.7005286,81.0,12.594856,329.03625
20160418T1100,7.8905287,78.0,18.514643,333.43497
20160418T1200,8.470529,73.0,21.900904,334.69864
20160418T1300,8.780529,67.0,23.224882,341.00336
20160418T1400,8.910529,80.0,19.201874,300.41107
20160418T1500,8.250529,85.0,18.792551,290.17065
20160418T1600,8.150529,85.0,20.431387,284.2811
20160418T1700,8.590529,83.0,19.966211,295.64102
20160418T1800,8.760529,85.0,15.463246,294.77515
20160418T1900,9.380529,80.0,11.525623,308.65982
20160418T2000,9.860529,78.0,8.217153,331.1892
20160418T2100,9.470529,76.0,9.511088,330.5241
20160418T2200,8.060529,78.0,10.296251,323.53076
20160418T2300,6.6105285,82.0,7.072878,284.74356
20160419T0000,6.4205284,73.0,5.8048253,262.875
20160419T0100,6.6505284,68.0,5.1544156,257.90524
20160419T0200,6.3405285,68.0,5.8048253,262.875
20160419T0300,5.7205286,70.0,5.3999996,270.0
20160419T0400,5.5005283,70.0,4.379589,260.5377
20160419T0500,5.4105287,69.0,4.1046314,232.12502
20160419T0600,4.9505286,69.0,4.198285,210.96376
20160419T0700,4.6005287,70.0,4.452954,194.03624
20160419T0800,4.9305286,77.0,2.7416782,156.8014
20160419T0900,6.3705287,76.0,1.1384199,108.434944
20160419T1000,7.9305286,73.0,1.08,89.99999
20160419T1100,9.8005295,67.0,2.7416782,66.8014
20160419T1200,11.630529,61.0,2.5959969,56.30993
20160419T1300,12.780529,51.0,2.52,360.0
20160419T1400,14.130529,51.0,6.725354,15.524109
20160419T1500,14.760529,49.0,7.42159,14.03624
20160419T1600,15.170529,48.0,7.9932976,7.765167
20160419T1700,15.310529,47.0,9.72,360.0
20160419T1800,15.110529,48.0,12.24,360.0
20160419T1900,14.430529,54.0,13.684735,358.49255
20160419T2000,12.810529,64.0,13.039754,353.65985
20160419T2100,10.580529,75.0,12.24,360.0
20160419T2200,8.830529,84.0,6.130579,3.3664398
20160419T2300,7.6805286,90.0,2.1897945,189.46233
20160420T0000,7.2305284,88.0,3.7064266,209.05461
20160420T0100,7.0705285,86.0,4.3349743,175.23636
20160420T0200,6.8905287,83.0,4.896529,162.89728
20160420T0300,5.5505285,87.0,5.8048253,119.74488
20160420T0400,4.6205287,91.0,5.506941,101.30993
20160420T0500,4.2405286,92.0,4.452954,104.03624
20160420T0600,3.9705286,91.0,4.2136917,109.9831
20160420T0700,3.8405285,91.0,4.1046314,105.25512
20160420T0800,5.3005285,89.0,3.319036,77.47118
20160420T0900,8.930529,77.0,12.6462,85.10091
20160420T1000,11.370529,63.0,20.523155,91.00509
20160420T1100,12.980529,61.0,19.829433,86.87787
20160420T1200,14.760529,55.0,18.532133,82.1847
